,Normal,eyes-gecko,ears-red-nimo,back-balloon : bird-back-02,mouth-catfish : aquatic-mouth-04,horn-imp : beast-horn-04,tail-cottontail : beast-tail-02,,16.8725,19.85,29.775
270113.54,Normal,eyes-papi,ears-leafy,back-green-thorns : reptile-back-06,mouth-nut-cracker : beast-mouth-02,horn-imp : beast-horn-04,tail-nimo : aquatic-tail-04,,,,
,Normal,eyes-zeal,ears-beetle-spike,back-jaguar : beast-back-06,mouth-nut-cracker : beast-mouth-02,horn-lagging : bug-horn-02,tail-the-last-one : bird-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-papi,ears-leafy,back-pink-turnip : plant-back-02,mouth-mr-doubletalk : bird-mouth-02,horn-rose-bud : plant-horn-06,tail-tiny-dino : reptile-tail-06,,42.4915,49.99,74.985
,Normal,eyes-papi,ears-the-last-leaf,back-ronin : beast-back-02,mouth-skull-cracker : beast-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-swallow : bird-tail-02,,42.4915,49.99,74.985
,Normal,eyes-little-peas,ears-rosa,back-bidens : plant-back-06,mouth-goda : beast-mouth-04,horn-trump : bird-horn-06,tail-cottontail : beast-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-confused,ears-rosa,back-shiitake : plant-back-04,mouth-nut-cracker : beast-mouth-02,horn-beech : plant-horn-04,tail-cottontail : beast-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-lucas,ears-pink-cheek,back-cupid : bird-back-04,mouth-nut-cracker : beast-mouth-02,horn-teal-shell : aquatic-horn-04,tail-tiny-dino : reptile-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-little-peas,ears-nut-cracker,back-blue-moon : aquatic-back-04,mouth-nut-cracker : beast-mouth-02,horn-eggshell : bird-horn-02,tail-rice : beast-tail-04,,1.4867,1.749,2.6235
,Fuzzy,eyes-papi,ears-bubblemaker,back-raven : bird-back-06,mouth-catfish : aquatic-mouth-04,horn-scaly-spear : reptile-horn-04,tail-shiba : beast-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-pointy-nyan,back-balloon : bird-back-02,mouth-catfish : aquatic-mouth-04,horn-merry : beast-horn-06,tail-wall-gecko : reptile-tail-02,,16.8725,19.85,29.775
,Normal,eyes-sleepless,ears-innocent-lamb,back-garish-worm : bug-back-04,mouth-peace-maker : bird-mouth-04,horn-babylonia : aquatic-horn-02,tail-ant : bug-tail-02,,1.4867,1.749,2.6235
,Fuzzy,eyes-sleepless,ears-beetle-spike,back-crystal-hermit : aquatic-back-02,mouth-lam : aquatic-mouth-02,horn-caterpillars : bug-horn-06,tail-wall-gecko : reptile-tail-02,,16.8725,19.85,29.775
,Normal,eyes-confused,ears-nyan,back-green-thorns : reptile-back-06,mouth-nut-cracker : beast-mouth-02,horn-beech : plant-horn-04,tail-hatsune : plant-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-innocent-lamb,back-hero : beast-back-04,mouth-skull-cracker : beast-mouth-02,horn-trump : bird-horn-06,tail-koi : aquatic-tail-02,,16.8725,19.85,29.775
,Normal,eyes-neo,ears-clover,back-jaguar : beast-back-06,mouth-mosquito : bug-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-twin-tail : bug-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-mavis,ears-early-bird,back-cupid : bird-back-04,mouth-serious : plant-mouth-02,horn-imp : beast-horn-04,tail-nimo : aquatic-tail-04,,1.4867,1.749,2.6235
,Fuzzy,eyes-neo,ears-nut-cracker,back-cupid : bird-back-04,mouth-lam : aquatic-mouth-02,horn-little-branch : beast-horn-02,tail-swallow : bird-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-gecko,ears-early-bird,back-raven : bird-back-06,mouth-venom-bite : reptile-mouth-02,horn-beech : plant-horn-04,tail-koi : aquatic-tail-02,,16.8725,19.85,29.775
,Normal,eyes-sleepless,ears-beetle-spike,back-garish-worm : bug-back-04,mouth-zigzag : plant-mouth-04,horn-lagging : bug-horn-02,tail-tadpole : aquatic-tail-06,,1.4867,1.749,2.6235
,Fuzzy,eyes-zeal,ears-leafy,back-starry-shell : bug-back-02,mouth-goda : beast-mouth-04,horn-little-branch : beast-horn-02,tail-cottontail : beast-tail-02,,16.8725,19.85,29.775
,Normal,eyes-little-peas,ears-nyan,back-balloon : bird-back-02,mouth-serious : plant-mouth-02,horn-cuckoo : bird-horn-04,tail-cottontail : beast-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-lucas,ears-bubblemaker,back-crystal-hermit : aquatic-back-02,mouth-nut-cracker : beast-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-shiba : beast-tail-06,,16.8725,19.85,29.775
,Normal,eyes-lucas,ears-nut-cracker,back-hero : beast-back-04,mouth-venom-bite : reptile-mouth-02,horn-cuckoo : bird-horn-04,tail-iguana : reptile-tail-04,,16.8725,19.85,29.775
,Fuzzy,eyes-little-peas,ears-tiny-fan,back-shiitake : plant-back-04,mouth-zigzag : plant-mouth-04,horn-merry : beast-horn-06,tail-iguana : reptile-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-lucas,ears-vector,back-green-thorns : reptile-back-06,mouth-goda : beast-mouth-04,horn-cerastes : reptile-horn-06,tail-sakura-cottontail : beast-tail-02,,42.4915,49.99,74.985
,Normal,eyes-zeal,ears-nyan,back-goldfish : aquatic-back-06,mouth-toothless-bite : reptile-mouth-02,horn-caterpillars : bug-horn-06,tail-shiba : beast-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-sleepless,ears-curved-spine,back-turnip : plant-back-02,mouth-catfish : aquatic-mouth-04,horn-antenna : bug-horn-04,tail-the-last-one : bird-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-little-peas,ears-curved-spine,back-hero : beast-back-04,mouth-toothless-bite : reptile-mouth-02,horn-teal-shell : aquatic-horn-04,tail-iguana : reptile-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-bookworm,ears-nyan,back-blue-moon : aquatic-back-04,mouth-nut-cracker : beast-mouth-02,horn-little-branch : beast-horn-02,tail-iguana : reptile-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-early-bird,back-tri-spikes : reptile-back-04,mouth-goda : beast-mouth-04,horn-little-branch : beast-horn-02,tail-wall-gecko : reptile-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-gecko,ears-ear-breathing,back-cupid : bird-back-04,mouth-serious : plant-mouth-02,horn-pinku-unko : reptile-horn-02,tail-hatsune : plant-tail-06,,16.8725,19.85,29.775
,Normal,eyes-little-peas,ears-innocent-lamb,back-cupid : bird-back-04,mouth-nut-cracker : beast-mouth-02,horn-eggshell : bird-horn-02,tail-twin-tail : bug-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-nyan,back-crystal-hermit : aquatic-back-02,mouth-skull-cracker : beast-mouth-02,horn-beech : plant-horn-04,tail-iguana : reptile-tail-04,,42.4915,49.99,74.985
,Normal,eyes-mavis,ears-curved-spine,back-hermit : aquatic-back-02,mouth-mosquito : bug-mouth-02,horn-scaly-spear : reptile-horn-04,tail-nimo : aquatic-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-little-peas,ears-ear-breathing,back-hero : beast-back-04,mouth-humorless : plant-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-tadpole : aquatic-tail-06,,16.8725,19.85,29.775
,Normal,eyes-confused,ears-curved-spine,back-buzz-buzz : bug-back-06,mouth-nut-cracker : beast-mouth-02,horn-little-branch : beast-horn-02,tail-feather-fan : bird-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-sleepless,ears-tiny-fan,back-raven : bird-back-06,mouth-catfish : aquatic-mouth-04,horn-trump : bird-horn-06,tail-hatsune : plant-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-gecko,ears-nut-cracker,back-blue-moon : aquatic-back-04,mouth-goda : beast-mouth-04,horn-caterpillars : bug-horn-06,tail-koi : aquatic-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-larva,back-buzz-buzz : bug-back-06,mouth-mosquito : bug-mouth-02,horn-unko : reptile-horn-02,tail-fish-snack : bug-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-sleepless,ears-tiny-fan,back-jaguar : beast-back-06,mouth-catfish : aquatic-mouth-04,horn-candy-babylonia : aquatic-horn-02,tail-the-last-one : bird-tail-06,,16.8725,19.85,29.775
,Normal,eyes-bookworm,ears-innocent-lamb,back-goldfish : aquatic-back-06,mouth-lam : aquatic-mouth-02,horn-merry : beast-horn-06,tail-swallow : bird-tail-02,,1.4867,1.749,2.6235
,Fuzzy,eyes-zeal,ears-clover,back-jaguar : beast-back-06,mouth-nut-cracker : beast-mouth-02,horn-cerastes : reptile-horn-06,tail-fish-snack : bug-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-clear,ears-beetle-spike,back-turnip : plant-back-02,mouth-kotaro : reptile-mouth-04,horn-cerastes : reptile-horn-06,tail-tadpole : aquatic-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-zeal,ears-owl,back-jaguar : beast-back-06,mouth-zigzag : plant-mouth-04,horn-trump : bird-horn-06,tail-swallow : bird-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-clear,ears-nyan,back-crystal-hermit : aquatic-back-02,mouth-mosquito : bug-mouth-02,horn-cuckoo : bird-horn-04,tail-wall-gecko : reptile-tail-02,,16.8725,19.85,29.775
,Normal,eyes-papi,ears-owl,back-shiitake : plant-back-04,mouth-toothless-bite : reptile-mouth-02,horn-winter-branch : beast-horn-02,tail-nimo : aquatic-tail-04,,16.8725,19.85,29.775
,Normal,eyes-zeal,ears-pink-cheek,back-hero : beast-back-04,mouth-serious : plant-mouth-02,horn-rose-bud : plant-horn-06,tail-ant : bug-tail-02,,1.4867,1.749,2.6235
,Fuzzy,eyes-papi,ears-deadly-pogona,back-bone-sail : reptile-back-02,mouth-catfish : aquatic-mouth-04,horn-candy-babylonia : aquatic-horn-02,tail-feather-fan : bird-tail-04,,42.4915,49.99,74.985
,Normal,eyes-tricky,ears-rosa,back-jaguar : beast-back-06,mouth-doubletalk : bird-mouth-02,horn-beech : plant-horn-04,tail-rice : beast-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-mavis,ears-curved-spine,back-garish-worm : bug-back-04,mouth-goda : beast-mouth-04,horn-beech : plant-horn-04,tail-cottontail : beast-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-clear,ears-beetle-spike,back-snail-shell : bug-back-02,mouth-venom-bite : reptile-mouth-02,horn-teal-shell : aquatic-horn-04,tail-tadpole : aquatic-tail-06,,16.8725,19.85,29.775
,Normal,eyes-lucas,ears-early-bird,back-shiitake : plant-back-04,mouth-goda : beast-mouth-04,horn-rose-bud : plant-horn-06,tail-ant : bug-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-papi,ears-clover,back-pink-turnip : plant-back-02,mouth-doubletalk : bird-mouth-02,horn-cuckoo : bird-horn-04,tail-twin-tail : bug-tail-04,,16.8725,19.85,29.775
,Normal,eyes-papi,ears-innocent-lamb,back-jaguar : beast-back-06,mouth-serious : plant-mouth-02,horn-bamboo-shoot : plant-horn-02,tail-cattail : plant-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-little-peas,ears-curved-spine,back-bidens : plant-back-06,mouth-goda : beast-mouth-04,horn-bamboo-shoot : plant-horn-02,tail-the-last-one : bird-tail-06,,1.4867,1.749,2.6235
,Fuzzy,eyes-papi,ears-clover,back-tri-spikes : reptile-back-04,mouth-doubletalk : bird-mouth-02,horn-cerastes : reptile-horn-06,tail-koi : aquatic-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-bookworm,ears-clover,back-bidens : plant-back-06,mouth-nut-cracker : beast-mouth-02,horn-beech : plant-horn-04,tail-tadpole : aquatic-tail-06,,1.4867,1.749,2.6235
